Dr, alpha, sd
0.00000 0.8303023845 0.0508709700
0.00100 0.8849408670 0.0675009369
0.00300 0.7890307227 0.0426355082
0.00500 0.8394026231 0.0473677943
0.01000 0.7338376104 0.0599322152
0.01500 0.7425691607 0.0545897990
0.02000 0.6912444148 0.0648955221
0.02500 0.5991866666 0.0534038988
0.03000 0.6354387280 0.0747037809
0.03500 0.6582475245 0.0506205871
0.04000 0.5965282598 0.0601774275
0.04500 0.6254149803 0.0645407944
0.05000 0.5410489814 0.0517244121
0.05500 0.6007655190 0.0514171777
0.06000 0.5050899296 0.0429239940
0.06500 0.6342982782 0.0588827034
0.07000 0.5536785370 0.0624582053
0.07500 0.5585719956 0.0488385156
0.08000 0.6866783544 0.0480622880
0.08500 0.5438734210 0.0477997997
0.09000 0.6535977332 0.0563819038
0.09500 0.5467227825 0.0573850810
0.10000 0.5700173664 0.0580781457
