X,Y,U,V
-1.000000000000000000e+00,-1.000000000000000000e+00,3.621731844041296139e-02,2.303401781402248522e-02
-9.000000000000000222e-01,-1.000000000000000000e+00,1.489407025490750158e-01,1.852981355388412868e-02
-8.000000000000000444e-01,-1.000000000000000000e+00,2.481464694321330322e-01,4.188830292971493577e-03
-6.999999999999999556e-01,-1.000000000000000000e+00,3.179637948374155476e-01,-9.427884733738779027e-03
-5.999999999999999778e-01,-1.000000000000000000e+00,3.590314134557477943e-01,-2.201885543680000973e-02
-5.000000000000000000e-01,-1.000000000000000000e+00,3.583136633938356352e-01,-3.024818979325518548e-02
-3.999999999999999112e-01,-1.000000000000000000e+00,3.367033091128028843e-01,-3.821248498242416081e-02
-2.999999999999999334e-01,-1.000000000000000000e+00,2.791711984654787759e-01,-4.342443005473400203e-02
-1.999999999999999556e-01,-1.000000000000000000e+00,1.968495412347086859e-01,-4.638404094875705347e-02
-9.999999999999997780e-02,-1.000000000000000000e+00,9.529769569528245832e-02,-5.076322170324745753e-02
0.000000000000000000e+00,-1.000000000000000000e+00,-3.993783665502521028e-03,-4.013699484204298618e-02
1.000000000000000888e-01,-1.000000000000000000e+00,-1.098943129825605963e-01,-3.344342550049264617e-02
2.000000000000001776e-01,-1.000000000000000000e+00,-1.996018090147998747e-01,-2.499329904281020337e-02
3.000000000000000444e-01,-1.000000000000000000e+00,-2.768743927984238518e-01,-1.159477872622663268e-02
4.000000000000001332e-01,-1.000000000000000000e+00,-3.248343396976344777e-01,-3.098734917656016837e-03
5.000000000000000000e-01,-1.000000000000000000e+00,-3.383716556078651405e-01,3.598983956597041206e-03
6.000000000000000888e-01,-1.000000000000000000e+00,-3.168550901983278045e-01,1.620800099116160783e-02
7.000000000000001776e-01,-1.000000000000000000e+00,-2.688373936036115852e-01,1.328282210186289281e-02
8.000000000000000444e-01,-1.000000000000000000e+00,-1.773450633088166917e-01,1.363158560498621899e-02
9.000000000000001332e-01,-1.000000000000000000e+00,-8.254412557894610925e-02,1.074274414150330585e-02
1.000000000000000000e+00,-1.000000000000000000e+00,3.621731844041296139e-02,2.303401781402248522e-02
-1.000000000000000000e+00,-9.000000000000000222e-01,3.414344235840289371e-02,-7.726503743088730669e-02
-9.000000000000000222e-01,-9.000000000000000222e-01,1.485490364096839766e-01,-8.067124914311113448e-02
-8.000000000000000444e-01,-9.000000000000000222e-01,2.416173643413032646e-01,-7.154756300175013628e-02
-6.999999999999999556e-01,-9.000000000000000222e-01,3.095733806612385730e-01,-5.603582757045950935e-02
-5.999999999999999778e-01,-9.000000000000000222e-01,3.537812789902982646e-01,-3.978830078405480586e-02
-5.000000000000000000e-01,-9.000000000000000222e-01,3.592043556284881256e-01,-1.868539832155605498e-02
-3.999999999999999112e-01,-9.000000000000000222e-01,3.289539702069364524e-01,5.972250455950818895e-03
-2.999999999999999334e-01,-9.000000000000000222e-01,2.695165676566904089e-01,2.723087433473627555e-02
-1.999999999999999556e-01,-9.000000000000000222e-01,1.898952943684894534e-01,4.715879396859497252e-02
-9.999999999999997780e-02,-9.000000000000000222e-01,9.012191894324141084e-02,7.029533808050550392e-02
0.000000000000000000e+00,-9.000000000000000222e-01,-2.673138640317746992e-03,7.481463397950977035e-02
1.000000000000000888e-01,-9.000000000000000222e-01,-1.047669441711228944e-01,7.148510420539638810e-02
2.000000000000001776e-01,-9.000000000000000222e-01,-2.004683532959397330e-01,6.358864374142017550e-02
3.000000000000000444e-01,-9.000000000000000222e-01,-2.692385740508111969e-01,4.815979989465336841e-02
4.000000000000001332e-01,-9.000000000000000222e-01,-3.164647974483003057e-01,3.072897430712906788e-02
5.000000000000000000e-01,-9.000000000000000222e-01,-3.322004822575713723e-01,4.704100562057908150e-03
6.000000000000000888e-01,-9.000000000000000222e-01,-3.145625600158148960e-01,-2.006472878693224549e-02
7.000000000000001776e-01,-9.000000000000000222e-01,-2.597046106711484170e-01,-4.575229917181962425e-02
8.000000000000000444e-01,-9.000000000000000222e-01,-1.778983819304726099e-01,-7.445206426873790528e-02
9.000000000000001332e-01,-9.000000000000000222e-01,-7.246086378044247489e-02,-8.742780439106656587e-02
1.000000000000000000e+00,-9.000000000000000222e-01,3.414344235840289371e-02,-7.726503743088730669e-02
-1.000000000000000000e+00,-8.000000000000000444e-01,3.728114376360375931e-02,-1.756040389215833830e-01
-9.000000000000000222e-01,-8.000000000000000444e-01,1.261122782951202559e-01,-1.640768777763769726e-01
-8.000000000000000444e-01,-8.000000000000000444e-01,2.161144352801301349e-01,-1.415136377840138515e-01
