X,Y,Vort
-1.000000000000000000e+00,-1.000000000000000000e+00,1.186867065346384614e-01
-9.899497487437185494e-01,-1.000000000000000000e+00,3.426582517995081095e-02
-9.798994974874372099e-01,-1.000000000000000000e+00,-4.859184029766808882e-02
-9.698492462311557594e-01,-1.000000000000000000e+00,-1.283230739075254812e-01
-9.597989949748744198e-01,-1.000000000000000000e+00,-2.033646596589249456e-01
-9.497487437185929693e-01,-1.000000000000000000e+00,-2.721533815611735796e-01
-9.396984924623115187e-01,-1.000000000000000000e+00,-3.331260236235759065e-01
-9.296482412060301792e-01,-1.000000000000000000e+00,-3.847193698554366437e-01
-9.195979899497487287e-01,-1.000000000000000000e+00,-4.253702042660625349e-01
-9.095477386934673891e-01,-1.000000000000000000e+00,-4.535153108647579923e-01
-8.994974874371859386e-01,-1.000000000000000000e+00,-4.676035699969049997e-01
-8.894472361809044880e-01,-1.000000000000000000e+00,-4.718224944680209365e-01
-8.793969849246231485e-01,-1.000000000000000000e+00,-4.710679721415685361e-01
-8.693467336683416979e-01,-1.000000000000000000e+00,-4.662395548903784381e-01
-8.592964824120603584e-01,-1.000000000000000000e+00,-4.582367945872815040e-01
-8.492462311557789079e-01,-1.000000000000000000e+00,-4.479592431051080403e-01
-8.391959798994974573e-01,-1.000000000000000000e+00,-4.363064523166889641e-01
-8.291457286432161178e-01,-1.000000000000000000e+00,-4.241779740948548594e-01
-8.190954773869346672e-01,-1.000000000000000000e+00,-4.124733603124363102e-01
-8.090452261306533277e-01,-1.000000000000000000e+00,-4.020921628422641225e-01
-7.989949748743718771e-01,-1.000000000000000000e+00,-3.939351864946784021e-01
-7.889447236180904266e-01,-1.000000000000000000e+00,-3.888022081080906300e-01
-7.788944723618089760e-01,-1.000000000000000000e+00,-3.866321547512208134e-01
-7.688442211055276365e-01,-1.000000000000000000e+00,-3.870967022941337321e-01
-7.587939698492462970e-01,-1.000000000000000000e+00,-3.898675266068950540e-01
-7.487437185929648464e-01,-1.000000000000000000e+00,-3.946163035595693369e-01
-7.386934673366833959e-01,-1.000000000000000000e+00,-4.010147090222220823e-01
-7.286432160804019453e-01,-1.000000000000000000e+00,-4.087344188649181809e-01
-7.185929648241206058e-01,-1.000000000000000000e+00,-4.174471089577228566e-01
-7.085427135678392663e-01,-1.000000000000000000e+00,-4.268244551707013335e-01
-6.984924623115578157e-01,-1.000000000000000000e+00,-4.365384102155781543e-01
-6.884422110552763652e-01,-1.000000000000000000e+00,-4.463845725119496288e-01
-6.783919597989949146e-01,-1.000000000000000000e+00,-4.564764060313451499e-01
-6.683417085427135751e-01,-1.000000000000000000e+00,-4.669777496848586118e-01
-6.582914572864322356e-01,-1.000000000000000000e+00,-4.780524423835842418e-01
-6.482412060301507850e-01,-1.000000000000000000e+00,-4.898643230386159897e-01
-6.381909547738693345e-01,-1.000000000000000000e+00,-5.025772305610479718e-01
-6.281407035175878839e-01,-1.000000000000000000e+00,-5.163550038619740823e-01
-6.180904522613065444e-01,-1.000000000000000000e+00,-5.313614818524881045e-01
-6.080402010050250938e-01,-1.000000000000000000e+00,-5.477605034436844322e-01
-5.979899497487437543e-01,-1.000000000000000000e+00,-5.657917147937354674e-01
-5.879396984924623037e-01,-1.000000000000000000e+00,-5.876572208584909252e-01
-5.778894472361808532e-01,-1.000000000000000000e+00,-6.130089988194015183e-01
-5.678391959798995137e-01,-1.000000000000000000e+00,-6.400801663007307241e-01
-5.577889447236180631e-01,-1.000000000000000000e+00,-6.671038409267434632e-01
-5.477386934673367236e-01,-1.000000000000000000e+00,-6.923131403217029911e-01
-5.376884422110552730e-01,-1.000000000000000000e+00,-7.139411821098742283e-01
-5.276381909547738225e-01,-1.000000000000000000e+00,-7.302210839155204303e-01
-5.175879396984924830e-01,-1.000000000000000000e+00,-7.393859633629057404e-01
-5.075376884422110324e-01,-1.000000000000000000e+00,-7.396689380762946353e-01
-4.974874371859296929e-01,-1.000000000000000000e+00,-7.293130356133025183e-01
-4.874371859296482423e-01,-1.000000000000000000e+00,-7.077603858153603822e-01
-4.773869346733667918e-01,-1.000000000000000000e+00,-6.767819537252235396e-01
-4.673366834170854522e-01,-1.000000000000000000e+00,-6.384162727115151315e-01
-4.572864321608040017e-01,-1.000000000000000000e+00,-5.947018761428579658e-01
-4.472361809045225511e-01,-1.000000000000000000e+00,-5.476772973878745177e-01
-4.371859296482412116e-01,-1.000000000000000000e+00,-4.993810698151889271e-01
-4.271356783919597611e-01,-1.000000000000000000e+00,-4.518517267934228920e-01
-4.170854271356784215e-01,-1.000000000000000000e+00,-4.071278016912001085e-01
-4.070351758793969710e-01,-1.000000000000000000e+00,-3.672478278771428850e-01
-3.969849246231155204e-01,-1.000000000000000000e+00,-3.339370640942364576e-01
-3.869346733668341809e-01,-1.000000000000000000e+00,-3.037941881591962878e-01
-3.768844221105527303e-01,-1.000000000000000000e+00,-2.755314759799961655e-01
-3.668341708542713908e-01,-1.000000000000000000e+00,-2.494226865163583773e-01
-3.567839195979899403e-01,-1.000000000000000000e+00,-2.257415787280041275e-01
-3.467336683417084897e-01,-1.000000000000000000e+00,-2.047619115746552587e-01
-3.366834170854271502e-01,-1.000000000000000000e+00,-1.867574440160336968e-01
-3.266331658291456996e-01,-1.000000000000000000e+00,-1.720019350118605628e-01
-3.165829145728643601e-01,-1.000000000000000000e+00,-1.607691435218579490e-01
-3.065326633165829096e-01,-1.000000000000000000e+00,-1.533328285057472262e-01
-2.964824120603014590e-01,-1.000000000000000000e+00,-1.500308284632961009e-01
-2.864321608040201195e-01,-1.000000000000000000e+00,-1.513920369543363675e-01
-2.763819095477386689e-01,-1.000000000000000000e+00,-1.563627628847372997e-01
-2.663316582914573294e-01,-1.000000000000000000e+00,-1.635510091445924463e-01
-2.562814070351758788e-01,-1.000000000000000000e+00,-1.715647786239955508e-01
-2.462311557788944283e-01,-1.000000000000000000e+00,-1.790120742130402731e-01
-2.361809045226130888e-01,-1.000000000000000000e+00,-1.845008988018200513e-01
-2.261306532663316382e-01,-1.000000000000000000e+00,-1.866392552804287952e-01
-2.160804020100501877e-01,-1.000000000000000000e+00,-1.840351465389600261e-01
-2.060301507537688481e-01,-1.000000000000000000e+00,-1.752965754675074317e-01
-1.959798994974873976e-01,-1.000000000000000000e+00,-1.590663583708578355e-01
-1.859296482412060580e-01,-1.000000000000000000e+00,-1.353406837563007614e-01
-1.758793969849246075e-01,-1.000000000000000000e+00,-1.058738188992519175e-01
-1.658291457286431569e-01,-1.000000000000000000e+00,-7.253752647944633480e-02
-1.557788944723618174e-01,-1.000000000000000000e+00,-3.720356917661912788e-02
-1.457286432160803669e-01,-1.000000000000000000e+00,-1.743709670504256688e-03
-1.356783919597990273e-01,-1.000000000000000000e+00,3.197028935916273323e-02
-1.256281407035175768e-01,-1.000000000000000000e+00,6.206666523264786628e-02
-1.155778894472361262e-01,-1.000000000000000000e+00,8.667365527021596294e-02
-1.055276381909547867e-01,-1.000000000000000000e+00,1.039194967921321655e-01
-9.547738693467333615e-02,-1.000000000000000000e+00,1.128830726702676618e-01
-8.542713567839199662e-02,-1.000000000000000000e+00,1.193416942036894385e-01
-7.537688442211054607e-02,-1.000000000000000000e+00,1.245528887193944612e-01
-6.532663316582909552e-02,-1.000000000000000000e+00,1.284448302064399861e-01
-5.527638190954775599e-02,-1.000000000000000000e+00,1.309456926538832555e-01
-4.522613065326630544e-02,-1.000000000000000000e+00,1.319836500507817478e-01
-3.517587939698496591e-02,-1.000000000000000000e+00,1.314868763861926360e-01
-2.512562814070351536e-02,-1.000000000000000000e+00,1.293835456491733149e-01
-1.507537688442206480e-02,-1.000000000000000000e+00,1.256018318287810964e-01
-5.025125628140725276e-03,-1.000000000000000000e+00,1.200699089140733339e-01
5.025125628140614253e-03,-1.000000000000000000e+00,1.127387931608452715e-01
1.507537688442206480e-02,-1.000000000000000000e+00,1.040848710425853196e-01
2.512562814070351536e-02,-1.000000000000000000e+00,9.510989818532047946e-02
3.517587939698496591e-02,-1.000000000000000000e+00,8.683847226878460557e-02
4.522613065326641646e-02,-1.000000000000000000e+00,8.029519097271153871e-02
5.527638190954764497e-02,-1.000000000000000000e+00,7.650465197683523066e-02
6.532663316582909552e-02,-1.000000000000000000e+00,7.649145296088935564e-02
7.537688442211054607e-02,-1.000000000000000000e+00,8.128019160460793480e-02
8.542713567839199662e-02,-1.000000000000000000e+00,9.189546558772478113e-02
9.547738693467344717e-02,-1.000000000000000000e+00,1.093618725899737909e-01
1.055276381909548977e-01,-1.000000000000000000e+00,1.360102346816327301e-01
1.155778894472361262e-01,-1.000000000000000000e+00,1.774543879620401887e-01
1.256281407035175768e-01,-1.000000000000000000e+00,2.310897144678595583e-01
1.356783919597990273e-01,-1.000000000000000000e+00,2.932798749393840110e-01
1.457286432160804779e-01,-1.000000000000000000e+00,3.603885301169074684e-01
1.557788944723619284e-01,-1.000000000000000000e+00,4.287793407407238244e-01
1.658291457286431569e-01,-1.000000000000000000e+00,4.948159675511252242e-01
1.758793969849246075e-01,-1.000000000000000000e+00,5.548620712884090311e-01
1.859296482412060580e-01,-1.000000000000000000e+00,6.052813126928672238e-01
1.959798994974875086e-01,-1.000000000000000000e+00,6.424373525047939459e-01
2.060301507537689591e-01,-1.000000000000000000e+00,6.629221729389518369e-01
2.160804020100501877e-01,-1.000000000000000000e+00,6.667441197024098765e-01
2.261306532663316382e-01,-1.000000000000000000e+00,6.565414607207478159e-01
2.361809045226130888e-01,-1.000000000000000000e+00,6.350201145846821049e-01
2.462311557788945393e-01,-1.000000000000000000e+00,6.048859998849278607e-01
2.562814070351759899e-01,-1.000000000000000000e+00,5.688450352122017550e-01
2.663316582914572184e-01,-1.000000000000000000e+00,5.296031391572204594e-01
