t, xc
0.000000000000000000e+00,9.489178722881258521e-01
4.270386266094421818e-02,8.756208517184038698e-01
8.540772532188839472e-02,8.023238311486815544e-01
1.281115879828326198e-01,7.290268105789594610e-01
1.708154506437768172e-01,6.557297900092371457e-01
2.135193133047210423e-01,5.824327694395151633e-01
2.562231759656652397e-01,5.091357488697930700e-01
2.989270386266094648e-01,4.358387283000710877e-01
3.416309012875536344e-01,3.625417077303487723e-01
3.843347639484978040e-01,2.892446871606265124e-01
4.270386266094420846e-01,2.159476665909045301e-01
4.697424892703862542e-01,1.426506460211824368e-01
5.124463519313304793e-01,6.935362545146039892e-02
5.551502145922746490e-01,2.762894951999678161e-02
5.978540772532188186e-01,1.009259700897187639e-01
6.405579399141630992e-01,1.742229906594407463e-01
6.832618025751072688e-01,2.475200112291630616e-01
7.259656652360514384e-01,3.208170317988850995e-01
7.686695278969957190e-01,3.941140523686073593e-01
8.113733905579398886e-01,4.674110729383293972e-01
8.540772532188840582e-01,5.407080935080517126e-01
8.967811158798283389e-01,6.140051140777738059e-01
9.394849785407725085e-01,6.873021346474951221e-01
9.821888412017166781e-01,7.605991552172177705e-01
1.024892703862660959e+00,8.338961757869403080e-01
1.067596566523605128e+00,9.071931963566618462e-01
1.110300429184549298e+00,9.804902169263844947e-01
1.153004291845493468e+00,9.225272081021587134e-01
1.195708154506437637e+00,8.492301875324367311e-01
1.238412017167381807e+00,7.759331669627147487e-01
1.281115879828325976e+00,7.026361463929921003e-01
1.323819742489270368e+00,6.293391258232701180e-01
1.366523605150214538e+00,5.560421052535480246e-01
1.409227467811158707e+00,4.827450846838260423e-01
1.451931330472102877e+00,4.094480641141034494e-01
1.494635193133046824e+00,3.361510435443819667e-01
1.537339055793990994e+00,2.628540229746599843e-01
1.580042918454935164e+00,1.895570024049374469e-01
1.622746781115879333e+00,1.162599818352153536e-01
1.665450643776823503e+00,4.296296126549331573e-02
1.708154506437767894e+00,5.401961370596408685e-02
1.750858369098712064e+00,1.273166342756861247e-01
1.793562231759656234e+00,2.006136548454081070e-01
1.836266094420600403e+00,2.739106754151301448e-01
1.878969957081544573e+00,3.472076959848521827e-01
1.921673819742488742e+00,4.205047165545747201e-01
1.964377682403432912e+00,4.938017371242968134e-01
2.007081545064377082e+00,5.670987576940187402e-01
2.049785407725321473e+00,6.403957782637408336e-01
2.092489270386265421e+00,7.136927988334622608e-01
2.135193133047209813e+00,7.869898194031849092e-01
2.177896995708153760e+00,8.602868399729074467e-01
2.220600858369098152e+00,9.335838605426289849e-01
