t,xc
0.000000000000000000e+00,5.007893498862112658e-01
2.145922746781108240e-02,4.909630442993937471e-01
4.291845493562216479e-02,4.979767206512579758e-01
6.437768240343362536e-02,4.883498324717006067e-01
8.583690987124470428e-02,4.912582797760940423e-01
1.072961373390557971e-01,5.001673023503709903e-01
1.287553648068668621e-01,5.032102980285171334e-01
1.502145922746779549e-01,4.949355659033514154e-01
1.716738197424894086e-01,4.890319531700224598e-01
1.931330472103005014e-01,5.021809496180345000e-01
2.145922746781115942e-01,4.899515566297025781e-01
2.360515021459226592e-01,5.066296908971363866e-01
2.575107296137337243e-01,5.281236004913856252e-01
2.789699570815452057e-01,5.132167711002906252e-01
3.004291845493562985e-01,4.995913352185652467e-01
3.218884120171673913e-01,4.950755690736554637e-01
3.433476394849784286e-01,4.925114915910522306e-01
3.648068669527895214e-01,4.929704950126916341e-01
3.862660944206010027e-01,5.016649532677477374e-01
4.077253218884120956e-01,5.102285108433668448e-01
4.291845493562231884e-01,5.009079487996870306e-01
4.506437768240342256e-01,5.085173301834748916e-01
4.721030042918453185e-01,4.973686559752588110e-01
4.935622317596567998e-01,5.032771436275458310e-01
5.150214592274678926e-01,5.098215678162874021e-01
5.364806866952789299e-01,5.069535481557307932e-01
5.579399141630900782e-01,5.114277677783427567e-01
5.793991416309011155e-01,5.076024289050016236e-01
6.008583690987125969e-01,5.163226514962613312e-01
6.223175965665236342e-01,5.025457620296449601e-01
6.437768240343347825e-01,4.987252589627320098e-01
6.652360515021458198e-01,5.039499193590595283e-01
6.866952789699568571e-01,5.160587201305835148e-01
7.081545064377683385e-01,5.048063673861580281e-01
7.296137339055794868e-01,5.034375129231885015e-01
7.510729613733905241e-01,5.165714276198554167e-01
7.725321888412016724e-01,5.086056370390996673e-01
7.939914163090127097e-01,4.950486913738276762e-01
8.154506437768241911e-01,5.021401209222009498e-01
8.369098712446352284e-01,5.038915966894246257e-01
8.583690987124463767e-01,5.158997629550554631e-01
8.798283261802574140e-01,4.987678077787041087e-01
9.012875536480684513e-01,5.060680935921497703e-01
9.227467811158799327e-01,5.010662291409764268e-01
9.442060085836910810e-01,5.103446847177073309e-01
9.656652360515021183e-01,5.152067780836599997e-01
9.871244635193131556e-01,5.173980924430772177e-01
1.008583690987124193e+00,5.067160121114488991e-01
1.030042918454935785e+00,5.048273669325231694e-01
1.051502145922746934e+00,5.115368861745706042e-01
1.072961373390557860e+00,5.042718728821966589e-01
1.094420600858369008e+00,5.046837307266958117e-01
1.115879828326180156e+00,5.049588343471280716e-01
1.137339055793991527e+00,5.172173122855874272e-01
1.158798283261802675e+00,5.080285135799647023e-01
1.180257510729613601e+00,5.085216047721257127e-01
1.201716738197424750e+00,5.090732756289773064e-01
1.223175965665235898e+00,5.021463858855657048e-01
1.244635193133047268e+00,5.209330432729055715e-01
1.266094420600858417e+00,5.046058765176024696e-01
1.287553648068669565e+00,5.025079145768278632e-01
1.309012875536480935e+00,5.044168543706077923e-01
1.330472103004291640e+00,4.918861607677265102e-01
1.351931330472103010e+00,5.013676782685816402e-01
1.373390557939913714e+00,4.924395202856273190e-01
1.394849785407725307e+00,5.036272933713381583e-01
1.416309012875536677e+00,4.965756889271482066e-01
1.437768240343347381e+00,5.025931634849167828e-01
1.459227467811158974e+00,5.111734548031614533e-01
1.480686695278969678e+00,5.143878952404861149e-01
1.502145922746781048e+00,5.014608160546778493e-01
1.523605150214592641e+00,5.040304208565449251e-01
1.545064377682403345e+00,4.881680246234700871e-01
1.566523605150214715e+00,5.115830465276292038e-01
1.587982832618025419e+00,5.027416379824383164e-01
1.609442060085836790e+00,5.017544924202912426e-01
1.630901287553648382e+00,5.146803816215490546e-01
1.652360515021459086e+00,5.163173416724953224e-01
1.673819742489270457e+00,4.941390750132350629e-01
1.695278969957081161e+00,5.077127403596739530e-01
1.716738197424892753e+00,4.991330599697907378e-01
1.738197424892704124e+00,5.039503376117968614e-01
1.759656652360514828e+00,4.937589187684825465e-01
1.781115879828326198e+00,4.974789704287605474e-01
1.802575107296136903e+00,4.988292059539161105e-01
1.824034334763948495e+00,5.055039690584235412e-01
1.845493562231759865e+00,4.908804835932287780e-01
1.866952789699570570e+00,5.080299339541094472e-01
1.888412017167382162e+00,4.999349607848815324e-01
1.909871244635192866e+00,5.076096256590270084e-01
1.931330472103004237e+00,5.058300586309703029e-01
1.952789699570815607e+00,4.992650088113563811e-01
1.974248927038626311e+00,4.979742046939517053e-01
1.995708154506437904e+00,5.055033077554633714e-01
2.017167381974248386e+00,4.964667230521908614e-01
2.038626609442060200e+00,5.113841588365239943e-01
2.060085836909871571e+00,5.058155192450004556e-01
2.081545064377682053e+00,5.113210906835221614e-01
2.103004291845493867e+00,4.963371858404914683e-01
2.124463519313304349e+00,5.000200426284728827e-01
2.145922746781115720e+00,5.063116983999564891e-01
2.167381974248927090e+00,4.977609028123231028e-01
2.188841201716738016e+00,5.096415900078830052e-01
