t,xc
0.000000000000000000e+00,4.776292327255600156e-01
4.270386266094421818e-02,5.103597362553067285e-01
8.540772532188839472e-02,5.510173664847517472e-01
1.281115879828326198e-01,5.819588886688293883e-01
1.708154506437768172e-01,6.049038616690065595e-01
2.135193133047210423e-01,6.190891394229227629e-01
2.562231759656652397e-01,6.272322861042898268e-01
2.989270386266094648e-01,6.295681484827158059e-01
3.416309012875536344e-01,6.214766145448162860e-01
3.843347639484978040e-01,6.089268637997786726e-01
4.270386266094420846e-01,5.882898160622982431e-01
4.697424892703862542e-01,5.679674378770114274e-01
5.124463519313304793e-01,5.433690011026737210e-01
5.551502145922746490e-01,5.136536985558377566e-01
5.978540772532188186e-01,4.836910006382666438e-01
6.405579399141630992e-01,4.465940234791698771e-01
6.832618025751072688e-01,4.166416114118041136e-01
7.259656652360514384e-01,3.912266991767534563e-01
7.686695278969957190e-01,3.737623603299606856e-01
8.113733905579398886e-01,3.621832289891848689e-01
8.540772532188840582e-01,3.622930528589858312e-01
8.967811158798283389e-01,3.690840399946218042e-01
9.394849785407725085e-01,3.796959533856885116e-01
9.821888412017166781e-01,3.979408495330751805e-01
1.024892703862660959e+00,4.210539558201347177e-01
1.067596566523605128e+00,4.434040197948920792e-01
1.110300429184549298e+00,4.749039457711017320e-01
1.153004291845493468e+00,5.078830812832819674e-01
1.195708154506437637e+00,5.444384567531397323e-01
1.238412017167381807e+00,5.752794973612331830e-01
1.281115879828325976e+00,6.013902272249316283e-01
1.323819742489270368e+00,6.181661342547100091e-01
1.366523605150214538e+00,6.270482189892199187e-01
1.409227467811158707e+00,6.268984489782081226e-01
1.451931330472102877e+00,6.236577846370741085e-01
1.494635193133046824e+00,6.091132215361039215e-01
1.537339055793990994e+00,5.912919678443167015e-01
1.580042918454935164e+00,5.698658057981136338e-01
1.622746781115879333e+00,5.481704004048904011e-01
1.665450643776823503e+00,5.175868244391024220e-01
1.708154506437767894e+00,4.878815437298618107e-01
1.750858369098712064e+00,4.550662886036240806e-01
1.793562231759656234e+00,4.204706359919896386e-01
1.836266094420600403e+00,3.975792751425810678e-01
1.878969957081544573e+00,3.760595741070229536e-01
1.921673819742488742e+00,3.651881626794102331e-01
1.964377682403432912e+00,3.612588971814734151e-01
2.007081545064377082e+00,3.673200004044474554e-01
2.049785407725321473e+00,3.785333267886796804e-01
2.092489270386265421e+00,3.934675849443651785e-01
2.135193133047209813e+00,4.141751133251041495e-01
2.177896995708153760e+00,4.409675929376888348e-01
2.220600858369098152e+00,4.717292071589342939e-01
2.263304721030042543e+00,4.991401669946302633e-01
2.306008583690986935e+00,5.373149690250258459e-01
2.348712446351930883e+00,5.679248932808871331e-01
2.391416309012875274e+00,5.969592955113611765e-01
2.434120171673819222e+00,6.157927334266286579e-01
2.476824034334763613e+00,6.242150591823625305e-01
