x,y
5.360752471018628285e+00,5.852277422619629021e+00
5.356499657096271072e+00,5.805270756552099343e+00
5.344911633098342385e+00,5.753694421191471342e+00
5.327381646633313927e+00,5.712020785360500064e+00
5.299319126359542942e+00,5.670662173359142244e+00
5.260618849494685279e+00,5.633034503657399661e+00
5.210134829012043056e+00,5.596688631580157391e+00
5.153974289335500281e+00,5.567843563280828967e+00
5.091524050232614229e+00,5.543061639452814049e+00
5.029385911116556862e+00,5.525435422543843345e+00
4.964651694689714567e+00,5.515668930117599622e+00
4.898375142144528738e+00,5.510816554172328630e+00
4.835054598989385610e+00,5.513523834824914260e+00
4.781156189129686318e+00,5.520710372684928480e+00
4.724408451952414545e+00,5.532932708200570815e+00
4.678162527393800119e+00,5.549263634732313655e+00
4.642672436976871708e+00,5.573588694384571163e+00
4.613856266457585953e+00,5.602859720266756938e+00
4.580396655125285932e+00,5.636418350078942652e+00
4.559073651915185543e+00,5.679626073356800475e+00
4.541885960201357264e+00,5.730353089443114278e+00
4.538938341662356990e+00,5.784172948472227738e+00
4.526782579719971444e+00,5.841919705814100361e+00
4.521771225591357357e+00,5.908438685353213593e+00
4.523235917435328268e+00,5.970612550338443292e+00
4.522033451284642958e+00,6.030279053752100715e+00
4.516894847812842784e+00,6.087794780088857216e+00
4.512841037956099477e+00,6.138431206872271062e+00
4.512762696377514260e+00,6.183423232233914213e+00
4.515257302529671612e+00,6.220539731246156556e+00
4.516677486166499556e+00,6.252244494199429070e+00
4.523335915129328200e+00,6.277950875463543134e+00
4.531524437344857326e+00,6.300515220374828473e+00
4.537241381347842939e+00,6.319376863103100206e+00
4.541574141508013973e+00,6.332847808959557234e+00
4.554751520690714095e+00,6.345649707988928689e+00
4.564245418079271310e+00,6.352838872542214688e+00
4.579141388701914117e+00,6.358402536637257185e+00
4.593025749327471985e+00,6.363337489074543107e+00
4.618627658076328579e+00,6.365057151574900374e+00
4.640072932648471316e+00,6.366820092055228919e+00
4.671831540334899557e+00,6.364659979150171232e+00
4.705923439252985396e+00,6.363547864654499620e+00
4.740030406488285664e+00,6.360781511443599712e+00
4.783320421605028017e+00,6.358675939365342700e+00
4.823621304565685719e+00,6.352919503640171328e+00
4.876374867065828234e+00,6.348382209402271492e+00
4.928088564223899404e+00,6.340620672132899927e+00
4.983761543676870964e+00,6.330810093539899874e+00
5.040349845010928753e+00,6.317196322412385712e+00
5.096502219081357588e+00,6.299209628399614402e+00
5.155683009506414116e+00,6.273723006718356920e+00
5.208579894073314343e+00,6.242702501559799444e+00
5.263916282033028970e+00,6.200585591996913948e+00
5.313518289733042188e+00,6.149555067776028672e+00
5.353728563668814999e+00,6.094914771992442581e+00
5.389914367743114276e+00,6.031655797669828623e+00
5.413289029135957442e+00,5.974850925543928604e+00
5.433049671072486042e+00,5.913102782304299865e+00
5.446281940452014858e+00,5.859802881112528894e+00
5.458489747193757680e+00,5.799994013968171380e+00
5.466659784709443137e+00,5.752714071882043534e+00
5.474860834268542753e+00,5.706319827138571554e+00
5.484315868768757873e+00,5.657624792394543078e+00
5.492472336073627837e+00,5.618877142642242362e+00
5.501075839302028037e+00,5.583535690883814517e+00
5.512949823981285746e+00,5.553580279434756406e+00
5.527457327873300130e+00,5.522257132256071621e+00
5.540972578649729030e+00,5.501167918381885791e+00
5.556274135938056524e+00,5.482251684017900750e+00
5.572068199043386016e+00,5.465266764748970552e+00
5.585084383963713428e+00,5.450136748715899593e+00
5.607009994333528979e+00,5.438817214014513901e+00
5.624659494536971671e+00,5.429952247442742852e+00
5.640663262552856771e+00,5.423157308270657673e+00
5.668552790442042522e+00,5.417971636062199892e+00
5.693294764737628633e+00,5.412286765999000160e+00
5.715612919599200481e+00,5.408860811123142653e+00
5.749555203409328463e+00,5.403784025629856380e+00
5.779892686110671640e+00,5.402146277786628481e+00
5.824127968092071228e+00,5.398239417584200339e+00
5.859712887724685793e+00,5.393180365907271678e+00
5.897529798100814347e+00,5.388119038684414441e+00
5.944248012982242813e+00,5.381391919263713852e+00
5.990120265407214539e+00,5.373402621316671457e+00
6.035686771540042628e+00,5.362951950332056406e+00
6.084970725734799579e+00,5.350269202669200475e+00
6.131161392646157005e+00,5.332744637675142840e+00
6.176082888932514336e+00,5.310545020373657721e+00
6.221352718110500390e+00,5.281701552661728805e+00
6.258510920505785613e+00,5.249877187294286429e+00
6.296628323275200501e+00,5.210003629398356928e+00
6.328127907256728690e+00,5.163789234968729325e+00
6.355356197634271176e+00,5.114207626073143054e+00
6.378478124330814403e+00,5.060955355212585438e+00
6.395187868549986554e+00,5.007760433867285421e+00
6.406939689203171362e+00,4.962919632121157498e+00
6.416969175215828436e+00,4.905550374249714629e+00
6.420173613602129237e+00,4.863529186694414364e+00
6.421935441314357895e+00,4.815228914300257124e+00
6.421531130419842803e+00,4.774386764212785295e+00
6.415695758325400178e+00,4.728724372965628753e+00
6.408726378407529012e+00,4.690628126573357370e+00
6.395605010064857154e+00,4.653442555729514041e+00
6.376478472662628683e+00,4.624274783369656916e+00
6.358533734959586070e+00,4.596038238623785688e+00
6.330923098651614289e+00,4.565592815266728444e+00
6.301828716277385389e+00,4.546215824732942501e+00
