x,y
4.476406111673699506e+00,7.353847819579514500e+00
4.428012420134171734e+00,7.368117528614857470e+00
4.377970532319385377e+00,7.376095796366714197e+00
4.310189664094314033e+00,7.388500161240728836e+00
4.234577783707257126e+00,7.396919633261442861e+00
4.152257227352285973e+00,7.408715070312028139e+00
4.068553558170400208e+00,7.419885856563242399e+00
3.988948924910499905e+00,7.432755949866214351e+00
3.919925512104285747e+00,7.449037392640428301e+00
3.859074502672613871e+00,7.468348762880914649e+00
3.810709599563271599e+00,7.496145042189042762e+00
3.772583811724942837e+00,7.528983076120185913e+00
3.739922726840300360e+00,7.574641637282614859e+00
3.719721755533942797e+00,7.628702803077200834e+00
3.707022909752371476e+00,7.693995370327328942e+00
3.699076588810428667e+00,7.776141068014500668e+00
3.698217238295600229e+00,7.857822984823043200e+00
3.705020113517385472e+00,7.949951935734715036e+00
3.718368952405928685e+00,8.033739784100342618e+00
3.741315348819999720e+00,8.103947526666857470e+00
3.770436901472699720e+00,8.158015538252342935e+00
3.815704710454328907e+00,8.208643073945228963e+00
3.872113512009642822e+00,8.242140406194943481e+00
3.950697428393799893e+00,8.274753469968157304e+00
4.042252660833442590e+00,8.292141951837772140e+00
4.143901082123428559e+00,8.302777045765413533e+00
4.251898861139228991e+00,8.304063973156072365e+00
4.338825517532742815e+00,8.294741802346370818e+00
4.416612930721400154e+00,8.277336772433828926e+00
4.483983837595999944e+00,8.253333766641757663e+00
4.533958741816785931e+00,8.216502551103314289e+00
4.572158624943242877e+00,8.171380546688086000e+00
4.596903069377857420e+00,8.106412014301499269e+00
4.615240730528228141e+00,8.036810211657099856e+00
4.624039729960428780e+00,7.953493184345985512e+00
4.627583480781543024e+00,7.860965754370114134e+00
4.631324249094914691e+00,7.775453150678286462e+00
4.629788625863684892e+00,7.689917507162699728e+00
4.630044530385714729e+00,7.628051973808571695e+00
4.630734206716757839e+00,7.564978165414257383e+00
4.630312841170042937e+00,7.520517260851557140e+00
4.635395098445200368e+00,7.485349295385814727e+00
4.639223567225528200e+00,7.455868061780000389e+00
4.643285971582956861e+00,7.437929424321256811e+00
4.654974485563942110e+00,7.426193936257043049e+00
4.660794609351985862e+00,7.415407227529799528e+00
4.672271907745586539e+00,7.405844445634514273e+00
4.691457076080514987e+00,7.399526362096571219e+00
4.712256209447057032e+00,7.390272969751999987e+00
4.739590667981042671e+00,7.389804252922128391e+00
4.774406310452943281e+00,7.383388366353143439e+00
4.822881070414399396e+00,7.377348349938229077e+00
4.879125005867714471e+00,7.375401671979614271e+00
4.949193276057899382e+00,7.371163182338471564e+00
5.027138099027743223e+00,7.360846186560214832e+00
5.114962139676971553e+00,7.350549218419942576e+00
5.210679867039714530e+00,7.339798008784314653e+00
5.291360001185900330e+00,7.320614590976814995e+00
5.369982796594385377e+00,7.302863946994514244e+00
5.430978178364770592e+00,7.274855163794656576e+00
5.482889733840300650e+00,7.238047246018299852e+00
5.523417926725028515e+00,7.192943673180657527e+00
5.551273707167242222e+00,7.137527261101399567e+00
5.570780256172143119e+00,7.066577888361285531e+00
5.584321576668571652e+00,6.987990388004914344e+00
5.585338271928670828e+00,6.908269961977185680e+00
5.586587290161771691e+00,6.825645498657771704e+00
5.577273447401771556e+00,6.753858862936814589e+00
5.565264284560656805e+00,6.688511306928142552e+00
5.549855775534285662e+00,6.633041606573143234e+00
5.525376095222356732e+00,6.588664793078742754e+00
5.492461086235956635e+00,6.552008724614614366e+00
5.450863349550942871e+00,6.524196955449257374e+00
5.394905052699728643e+00,6.500255131433843481e+00
5.330815415752800490e+00,6.488154213983471585e+00
5.253942155082842014e+00,6.471157469256327843e+00
5.168204849006399648e+00,6.465722389553827831e+00
5.080971173541414032e+00,6.461896095002971130e+00
4.992670964897785169e+00,6.462307819474299997e+00
4.914690281125828619e+00,6.468323986403456516e+00
4.841994085340100007e+00,6.476101957470786097e+00
4.786813306621971797e+00,6.487755018602556767e+00
4.744491515205099930e+00,6.507554991063700278e+00
4.712122843786156423e+00,6.531695342550485783e+00
4.690350691101357050e+00,6.567584327420485479e+00
4.669996027467228750e+00,6.609321669760914730e+00
4.656249033973229423e+00,6.661437241748842553e+00
4.646146150365757066e+00,6.721101396980100340e+00
4.639520781434385732e+00,6.796414055329742965e+00
4.636814712941243144e+00,6.878839360353800281e+00
4.632711930322286342e+00,6.959685745221970699e+00
4.633272717253542616e+00,7.045324296026885591e+00
4.635825940008457380e+00,7.116575130263342430e+00
4.638340500661385590e+00,7.176764574028256405e+00
4.645078805124071231e+00,7.222864718101471126e+00
4.651709347904542824e+00,7.258160635895885449e+00
4.666582968649114704e+00,7.284836310591385811e+00
4.677030123798185279e+00,7.303548795944228900e+00
4.701324118307643296e+00,7.319590234672614493e+00
4.729877201245214380e+00,7.333310358823557529e+00
4.766250226326270933e+00,7.346279196089085417e+00
4.809269821151957558e+00,7.346940571750457671e+00
4.856044809681514529e+00,7.346825299480756577e+00
4.913947246013157688e+00,7.347108601861457089e+00
4.985158304537557150e+00,7.344058986966556901e+00
5.070820966979356470e+00,7.337926266731828129e+00
5.153366653115556417e+00,7.328678129309457390e+00
5.240481699825200401e+00,7.317976922748957058e+00
5.323046968277585833e+00,7.299020958468799947e+00
5.392954781133142639e+00,7.272308288554399702e+00
5.448646626483099276e+00,7.240717628202028244e+00
5.492469124885785980e+00,7.197571255931856982e+00
5.525807839443728220e+00,7.141835560051629450e+00
5.545773828588013821e+00,7.073721554747100626e+00
5.554699908552728438e+00,7.001759424149571309e+00
5.555853335790014391e+00,6.923446285098513897e+00
5.549082590722214547e+00,6.844809028802357531e+00
5.534963186157670911e+00,6.765696035371043138e+00
5.513040595102485675e+00,6.703700138507857176e+00
5.474489599964885045e+00,6.640796887945171534e+00
5.433385844955999744e+00,6.594552537741014575e+00
5.380117444556986150e+00,6.559627188248900787e+00
5.309003583968556761e+00,6.532919751851113510e+00
5.227827753562699797e+00,6.516430183313242530e+00
5.141093052136914920e+00,6.510297446309942337e+00
5.047262454164614276e+00,6.511769657214172113e+00
4.962241233629071324e+00,6.520681506125899141e+00
4.881223507026242636e+00,6.532886312764529357e+00
4.804968314321928169e+00,6.551246303337556753e+00
4.753432211998957158e+00,6.587654034320514107e+00
