gamma,Ttrap,sd
1.499999999999999944e-01,8.222636693825463583e-01,8.854402865958239943e-02
2.214285714285714468e-01,8.048980164670659354e-01,8.024404486187540486e-02
2.942857142857143171e-01,8.565280061717114313e-01,9.003200507527994723e-02
3.628571428571428781e-01,8.784507862550959834e-01,8.794648006899928594e-02
4.299999999999999933e-01,8.734236991692174712e-01,8.357992735763118686e-02
5.071428571428571175e-01,9.159465020576131877e-01,7.987478928567234848e-02
5.771428571428571797e-01,8.806186666666667717e-01,8.120344046702239471e-02
6.442857142857142394e-01,8.354815414578637967e-01,5.504244171667454361e-02
7.114285714285715212e-01,8.058192890824892318e-01,5.695529737904035661e-02
7.828571428571429180e-01,7.471499740212108609e-01,5.654197743179850688e-02
8.614285714285714324e-01,6.201971688574317021e-01,4.350615870359728771e-02
