gamma,Ttrap,sd
1.600000000000000033e-01,9.473413333329360198e-01,1.154130542243291500e-02
1.799999999999999933e-01,9.369279999996108499e-01,1.200199287061550629e-02
2.000000000000000111e-01,9.198693333329520661e-01,1.107018322154447627e-02
2.200000000000000011e-01,9.152853333329580288e-01,1.456603020823031905e-02
2.399999999999999911e-01,8.967706666663017856e-01,1.651902510636672414e-02
2.600000000000000089e-01,8.656959999996532984e-01,1.634356050894832102e-02
2.800000000000000266e-01,8.602133333329911036e-01,1.907292353331370774e-02
2.999999999999999889e-01,8.344613333330068716e-01,2.072913174195681330e-02
3.200000000000000067e-01,8.242079999996744233e-01,2.090891802767947186e-02
3.400000000000000244e-01,7.909466666663618195e-01,2.159957045596669345e-02
3.599999999999999867e-01,7.815359999996965845e-01,2.376543186019198367e-02
3.800000000000000044e-01,7.561946666663803551e-01,2.463619930201401201e-02
4.000000000000000222e-01,7.304879999997292428e-01,2.474334093222682260e-02
4.199999999999999845e-01,7.230159999997296527e-01,2.435476400986310436e-02
4.400000000000000022e-01,6.850186666664153101e-01,2.275349708419544675e-02
4.600000000000000200e-01,6.756959999997560473e-01,2.432085897252722617e-02
4.799999999999999822e-01,6.194053333331114297e-01,2.345226691783098422e-02
5.000000000000000000e-01,5.922773333331228240e-01,2.290104184969575865e-02
5.200000000000000178e-01,5.653546666664711617e-01,2.274970484207813198e-02
5.400000000000000355e-01,5.379199999998106607e-01,2.236415998857600035e-02
5.600000000000000533e-01,5.322239999998155113e-01,2.238959962813507482e-02
5.799999999999999600e-01,5.016319999998256618e-01,2.063406599573454001e-02
5.999999999999999778e-01,4.625973333331748760e-01,2.128428477062509552e-02
6.199999999999999956e-01,4.449786666665158097e-01,2.091801997138248437e-02
6.400000000000000133e-01,4.261946666665195060e-01,1.967846839349197963e-02
6.600000000000000311e-01,4.072319999998633144e-01,1.885391828069907239e-02
6.800000000000000488e-01,4.088159999998542404e-01,2.030311207103302831e-02
6.999999999999999556e-01,3.854186666665332384e-01,1.825045427288516167e-02
7.199999999999999734e-01,3.566053333332118158e-01,1.783999792591667646e-02
7.399999999999999911e-01,3.274853333332293226e-01,1.603805063421276031e-02
7.600000000000000089e-01,3.107973333332363364e-01,1.648936483076712464e-02
7.800000000000000266e-01,3.435706666665469533e-01,1.691007129359638206e-02
8.000000000000000444e-01,3.523919999998689767e-01,1.696831879077425470e-02
8.199999999999999512e-01,3.369039999998781898e-01,1.579571250133547308e-02
8.399999999999999689e-01,3.181439999998797452e-01,1.452810850867982707e-02
8.599999999999999867e-01,3.018666666665574261e-01,1.410138822704240166e-02
8.800000000000000044e-01,2.815279999998931970e-01,1.277853027617732035e-02
9.000000000000000222e-01,2.727599999998971403e-01,1.175900632272415709e-02
