gamma,total,chaotic,elliptic
1.000000000000000021e-02,4.191000000000000281e-01,3.894666666666666832e-01,2.963333333333333444e-02
2.000000000000000042e-02,3.990333333333333510e-01,3.749000000000000110e-01,2.413333333333333303e-02
2.999999999999999889e-02,4.231999999999999651e-01,3.857333333333333170e-01,3.746666666666666895e-02
4.000000000000000083e-02,4.223000000000000087e-01,3.906999999999999917e-01,3.160000000000000309e-02
5.000000000000000278e-02,3.990000000000000213e-01,3.738666666666666805e-01,2.513333333333333391e-02
6.000000000000000472e-02,3.870333333333333403e-01,3.633666666666666711e-01,2.366666666666666571e-02
6.999999999999999278e-02,4.139333333333333198e-01,3.807666666666666422e-01,3.316666666666666374e-02
8.000000000000000167e-02,4.385333333333333306e-01,4.035333333333333550e-01,3.500000000000000333e-02
8.999999999999999667e-02,4.386666666666666492e-01,3.925333333333333452e-01,4.613333333333333175e-02
9.999999999999999167e-02,4.595666666666666789e-01,4.216333333333333599e-01,3.793333333333333279e-02
1.100000000000000006e-01,4.192666666666666209e-01,3.797666666666666413e-01,3.950000000000000039e-02
1.199999999999999956e-01,4.521666666666666612e-01,4.148333333333333317e-01,3.733333333333333642e-02
1.300000000000000044e-01,4.581333333333333369e-01,4.164999999999999813e-01,4.163333333333333469e-02
1.400000000000000133e-01,4.976333333333333164e-01,4.536999999999999922e-01,4.393333333333333118e-02
1.500000000000000222e-01,5.184666666666666313e-01,4.713333333333333264e-01,4.713333333333333264e-02
1.600000000000000033e-01,5.603000000000000203e-01,5.194666666666666321e-01,4.083333333333333259e-02
1.700000000000000122e-01,5.351000000000000201e-01,4.860666666666666469e-01,4.903333333333333155e-02
1.800000000000000211e-01,5.712666666666667004e-01,5.166666666666667185e-01,5.460000000000000270e-02
1.900000000000000022e-01,5.382333333333333414e-01,4.990666666666666584e-01,3.916666666666666907e-02
2.000000000000000111e-01,5.246666666666666146e-01,5.004333333333332856e-01,2.423333333333333242e-02
2.100000000000000200e-01,5.401333333333333542e-01,5.116333333333333844e-01,2.850000000000000103e-02
2.200000000000000011e-01,5.750666666666667259e-01,5.409000000000000474e-01,3.416666666666666463e-02
2.300000000000000100e-01,5.889666666666666384e-01,5.689999999999999503e-01,1.996666666666666728e-02
2.400000000000000189e-01,6.018000000000000016e-01,5.817999999999999838e-01,2.000000000000000042e-02
2.500000000000000000e-01,6.121666666666666368e-01,5.905333333333333545e-01,2.163333333333333428e-02
2.600000000000000089e-01,5.837666666666666559e-01,5.609666666666666135e-01,2.280000000000000082e-02
2.700000000000000178e-01,5.880666666666666265e-01,5.695000000000000062e-01,1.856666666666666535e-02
2.800000000000000266e-01,6.326000000000000512e-01,5.986333333333333506e-01,3.396666666666666584e-02
2.900000000000000355e-01,5.822000000000000508e-01,5.543333333333333446e-01,2.786666666666666806e-02
2.999999999999999889e-01,6.749999999999999334e-01,6.233999999999999542e-01,5.160000000000000003e-02
3.099999999999999978e-01,6.781000000000000361e-01,6.136666666666666936e-01,6.443333333333332857e-02
3.200000000000000067e-01,7.288333333333333330e-01,6.625333333333333075e-01,6.629999999999999782e-02
3.300000000000000155e-01,7.017999999999999794e-01,6.665666666666666407e-01,3.523333333333333178e-02
3.400000000000000244e-01,6.924666666666666748e-01,6.591666666666666785e-01,3.330000000000000321e-02
3.500000000000000333e-01,7.152333333333333876e-01,6.925000000000000044e-01,2.273333333333333456e-02
3.600000000000000422e-01,6.966333333333334377e-01,6.688666666666667204e-01,2.776666666666666519e-02
3.699999999999999956e-01,6.687666666666667314e-01,6.569000000000000394e-01,1.186666666666666599e-02
3.800000000000000044e-01,6.868000000000000771e-01,6.742000000000000215e-01,1.260000000000000009e-02
3.900000000000000133e-01,6.958333333333334147e-01,6.941333333333333799e-01,1.699999999999999905e-03
4.000000000000000222e-01,7.291333333333333000e-01,7.236333333333333506e-01,5.499999999999999681e-03
4.100000000000000311e-01,7.433333333333334014e-01,7.407000000000000250e-01,2.633333333333333446e-03
4.200000000000000400e-01,7.479666666666666686e-01,7.474333333333332829e-01,5.333333333333333589e-04
4.299999999999999933e-01,8.346666666666666679e-01,8.323666666666666991e-01,2.299999999999999961e-03
4.400000000000000022e-01,8.511666666666666270e-01,8.508333333333333304e-01,3.333333333333333222e-04
4.500000000000000111e-01,8.700333333333333252e-01,8.700333333333333252e-01,0.000000000000000000e+00
4.600000000000000200e-01,8.746666666666667034e-01,8.740333333333333288e-01,6.333333333333332959e-04
4.700000000000000289e-01,8.794666666666667298e-01,8.789000000000000146e-01,5.666666666666667074e-04
4.800000000000000377e-01,8.614666666666667139e-01,8.608000000000000096e-01,6.666666666666666444e-04
4.899999999999999911e-01,8.981333333333333391e-01,8.979000000000000314e-01,2.333333333333333310e-04
5.000000000000000000e-01,9.194666666666666544e-01,9.194666666666666544e-01,0.000000000000000000e+00
5.100000000000000089e-01,8.955333333333332924e-01,8.955333333333332924e-01,0.000000000000000000e+00
5.200000000000000178e-01,8.782333333333333103e-01,8.780000000000000027e-01,2.333333333333333310e-04
5.300000000000000266e-01,7.785999999999999588e-01,7.771666666666666723e-01,1.433333333333333334e-03
5.400000000000000355e-01,7.679999999999999050e-01,7.635999999999999455e-01,4.400000000000000265e-03
5.500000000000000444e-01,7.343999999999999417e-01,7.280333333333333101e-01,6.366666666666666308e-03
5.600000000000000533e-01,7.091666666666666119e-01,7.069333333333333025e-01,2.233333333333333264e-03
5.700000000000000622e-01,6.792000000000000259e-01,6.711333333333333595e-01,8.066666666666666430e-03
5.800000000000000711e-01,6.938999999999999613e-01,6.838666666666666227e-01,1.003333333333333334e-02
5.899999999999999689e-01,5.628333333333332966e-01,5.589333333333332821e-01,3.899999999999999821e-03
5.999999999999999778e-01,5.565666666666666540e-01,5.538333333333332886e-01,2.733333333333333275e-03
6.099999999999999867e-01,5.461666666666665781e-01,5.427666666666666195e-01,3.399999999999999811e-03
6.199999999999999956e-01,6.125000000000000444e-01,6.084666666666667112e-01,4.033333333333333215e-03
6.300000000000000044e-01,5.638333333333332975e-01,5.633666666666666822e-01,4.666666666666666619e-04
6.400000000000000133e-01,5.572333333333333583e-01,5.549666666666667192e-01,2.266666666666666829e-03
6.500000000000000222e-01,5.805000000000000160e-01,5.805000000000000160e-01,0.000000000000000000e+00
