gamma,alpha,alpha_sd
1.000000000000000021e-02,1.018158608100000029e+00,2.838021170000000135e-02
2.000000000000000042e-02,9.561784437000000469e-01,3.542737029999999676e-02
2.999999999999999889e-02,9.786019561000000033e-01,2.970370149999999876e-02
4.000000000000000083e-02,9.459817819000000405e-01,3.205555079999999890e-02
5.000000000000000278e-02,9.707188521999999820e-01,3.425664149999999714e-02
5.999999999999999778e-02,8.983346855999999603e-01,3.203035729999999942e-02
7.000000000000000666e-02,9.746926255000000205e-01,2.736895389999999956e-02
8.000000000000000167e-02,9.935574242000000389e-01,2.854165499999999911e-02
8.999999999999999667e-02,9.029489341999999974e-01,3.565682929999999806e-02
1.000000000000000056e-01,9.302258062999999577e-01,2.096420300000000070e-02
1.100000000000000006e-01,8.815557794999999697e-01,3.165435710000000236e-02
1.199999999999999956e-01,9.175167006000000125e-01,3.727145140000000245e-02
1.300000000000000044e-01,9.340256196999999760e-01,3.242685430000000202e-02
1.400000000000000133e-01,8.641195332000000118e-01,3.306239589999999950e-02
1.499999999999999944e-01,7.852253236999999775e-01,3.358095109999999911e-02
1.600000000000000033e-01,7.659806505999999793e-01,4.160120509999999661e-02
1.700000000000000122e-01,8.691108255999999699e-01,3.681727490000000214e-02
1.799999999999999933e-01,8.184455513999999710e-01,3.681724530000000245e-02
1.900000000000000022e-01,7.906831823000000092e-01,4.149719710000000089e-02
2.000000000000000111e-01,8.056854145999999828e-01,3.951843330000000265e-02
2.099999999999999922e-01,8.560836206999999920e-01,3.940554269999999720e-02
2.200000000000000011e-01,7.784001455000000291e-01,3.985612610000000000e-02
2.300000000000000100e-01,7.306298407000000328e-01,3.717759830000000321e-02
2.399999999999999911e-01,1.390723525499999891e+00,2.382285625999999989e-01
2.500000000000000000e-01,5.648733481000000056e-01,2.635666360000000000e-02
2.600000000000000089e-01,6.739060061999999629e-01,4.945725179999999749e-02
2.700000000000000178e-01,6.592032330999999523e-01,4.502304959999999662e-02
2.800000000000000266e-01,1.976432338399999988e+00,9.801233959999999801e-02
2.899999999999999800e-01,1.969846158700000016e+00,9.164920259999999319e-02
2.999999999999999889e-01,6.916764815999999483e-01,4.305947909999999906e-02
3.099999999999999978e-01,7.016282756999999703e-01,4.051462759999999858e-02
3.200000000000000067e-01,7.326795729999999729e-01,4.293223830000000157e-02
3.300000000000000155e-01,7.602634838999999811e-01,4.287755409999999962e-02
3.400000000000000244e-01,7.111614471999999632e-01,3.790537990000000107e-02
3.499999999999999778e-01,8.168880637000000000e-01,3.923043219999999831e-02
3.599999999999999867e-01,7.927871734000000448e-01,3.111559330000000095e-02
3.699999999999999956e-01,7.983360927999999523e-01,3.319240999999999858e-02
3.800000000000000044e-01,8.687299059999999962e-01,3.101207909999999929e-02
3.900000000000000133e-01,8.929469736999999796e-01,3.418502959999999979e-02
4.000000000000000222e-01,8.743163817000000337e-01,3.457913890000000046e-02
4.099999999999999756e-01,8.879918261000000479e-01,3.430990290000000137e-02
4.199999999999999845e-01,8.954466492999999527e-01,2.942971340000000158e-02
4.299999999999999933e-01,2.141535381000000127e-01,3.303049610000000080e-02
