f,R_mean
5.000000000000000278e-02,5.083556933716454340e-01
1.000000000000000056e-01,5.028605314055741848e-01
2.000000000000000111e-01,4.500815967285778374e-01
2.999999999999999889e-01,3.615548096455604710e-01
4.000000000000000222e-01,3.802339260039174218e-01
5.000000000000000000e-01,3.500121618126812439e-01
5.999999999999999778e-01,3.625095465625595703e-01
6.999999999999999556e-01,4.540876401797222517e-01
8.000000000000000444e-01,4.514825068232815597e-01
9.000000000000000222e-01,4.141663868317083108e-01
1.000000000000000000e+00,3.747427865009996251e-01
