gamma,total,chaotic,period1,period3
2.000000000000000042e-02,4.953533333333333677e-01,4.231666666666666909e-01,4.785333333333333800e-02,2.433333333333333529e-02
2.999999999999999889e-02,4.994666666666667254e-01,4.226866666666667105e-01,4.897333333333334093e-02,2.780666666666667397e-02
3.999999999999999389e-02,5.101866666666666772e-01,4.310666666666667091e-01,4.783333333333333881e-02,3.128666666666667096e-02
4.999999999999999584e-02,5.059933333333334060e-01,4.293000000000000704e-01,4.688666666666667371e-02,2.980666666666667228e-02
5.999999999999999778e-02,5.289000000000000368e-01,4.418066666666667364e-01,4.749333333333333879e-02,3.960000000000000325e-02
6.999999999999999278e-02,5.568800000000000416e-01,4.620200000000000973e-01,5.072000000000000813e-02,4.414000000000000562e-02
7.999999999999998779e-02,5.618866666666667564e-01,4.716266666666667495e-01,4.900666666666667060e-02,4.125333333333333630e-02
8.999999999999999667e-02,5.682000000000001494e-01,4.660400000000001208e-01,4.756000000000000505e-02,5.460000000000000270e-02
9.999999999999999167e-02,5.952933333333335630e-01,4.792666666666667852e-01,4.540000000000000285e-02,7.062666666666668480e-02
1.099999999999999867e-01,6.069800000000000750e-01,4.760066666666667445e-01,4.587333333333334234e-02,8.510000000000000897e-02
1.199999999999999817e-01,6.379800000000001026e-01,4.879400000000000959e-01,4.694666666666667126e-02,1.030933333333333424e-01
1.299999999999999767e-01,6.447933333333334405e-01,4.751266666666667526e-01,4.736000000000000626e-02,1.223066666666666885e-01
1.399999999999999856e-01,6.556066666666668930e-01,4.625400000000001177e-01,4.430000000000000604e-02,1.487666666666666859e-01
1.499999999999999667e-01,6.953866666666667085e-01,5.010333333333334416e-01,4.602000000000000535e-02,1.483333333333333448e-01
1.599999999999999756e-01,7.283733333333335391e-01,5.010866666666667912e-01,4.691333333333334160e-02,1.803733333333333577e-01
1.699999999999999567e-01,7.245000000000001439e-01,4.757133333333334324e-01,4.633333333333333748e-02,2.024533333333333462e-01
