gamma,alpha,alpha_sd
0.000000000000000000e+00,9.060159299000000166e-01,2.879127089999999889e-02
1.000000000000000021e-02,9.542829334000000330e-01,4.275566060000000196e-02
2.000000000000000042e-02,8.789188157999999751e-01,5.033912389999999765e-02
2.999999999999999889e-02,9.693384364999999558e-01,4.656125889999999934e-02
4.000000000000000083e-02,9.606611000000000455e-01,3.744086809999999654e-02
5.000000000000000278e-02,9.372439640999999932e-01,4.043633840000000063e-02
5.999999999999999778e-02,8.726021358000000117e-01,4.834363290000000257e-02
7.000000000000000666e-02,8.055555988000000500e-01,5.046593320000000021e-02
8.000000000000000167e-02,8.060824540000000038e-01,4.388608299999999934e-02
8.999999999999999667e-02,6.911629393999999538e-01,5.238014390000000214e-02
1.000000000000000056e-01,5.459630957000000118e-01,4.371410600000000257e-02
1.100000000000000006e-01,6.086557116999999906e-01,5.634742849999999775e-02
1.199999999999999956e-01,5.939938701000000432e-01,5.608224430000000038e-02
1.300000000000000044e-01,3.722737767000000031e-01,5.993140560000000117e-02
1.400000000000000133e-01,3.565377271999999875e-01,5.424183479999999946e-02
1.499999999999999944e-01,2.364976306000000084e-01,5.935796630000000212e-02
1.600000000000000033e-01,3.016771685999999897e-01,4.458671599999999846e-02
1.700000000000000122e-01,2.600910838000000114e-01,4.144462089999999960e-02
1.799999999999999933e-01,1.062060301000000012e-01,3.479583759999999720e-02
1.900000000000000022e-01,1.012878311000000031e-01,3.400062870000000043e-02
2.000000000000000111e-01,4.301382210000000150e-02,3.190723670000000095e-02
2.099999999999999922e-01,2.968999370000000027e-02,3.567757869999999693e-02
2.200000000000000011e-01,1.685796720000000068e-02,6.143286599999999743e-03
2.300000000000000100e-01,1.325714400000000022e-02,1.072259700000000038e-02
2.399999999999999911e-01,7.753586399999999948e-03,5.501586200000000218e-03
2.500000000000000000e-01,3.313440200000000030e-03,2.853034999999999859e-03
2.600000000000000089e-01,1.809494400000000169e-02,1.454248380000000042e-02
2.700000000000000178e-01,1.442750460000000005e-02,1.374555780000000053e-02
2.800000000000000266e-01,5.638992500000000047e-02,1.595560190000000142e-02
2.899999999999999800e-01,1.368159452999999914e-01,3.528751310000000085e-02
2.999999999999999889e-01,1.944125117999999930e-01,3.652089830000000009e-02
3.099999999999999978e-01,2.093540943999999959e-01,5.689347909999999814e-02
3.200000000000000067e-01,3.118815192000000125e-01,5.027568589999999865e-02
3.300000000000000155e-01,3.951800708000000051e-01,4.523103220000000008e-02
3.400000000000000244e-01,2.947129512000000173e-01,4.844155490000000286e-02
3.499999999999999778e-01,3.585371576999999976e-01,4.137007689999999682e-02
3.599999999999999867e-01,5.171633475000000368e-01,4.898180540000000166e-02
