x,y
-1.196950129999999925e-02,5.005274186000000514e-01
-1.540126680000000053e-02,3.584732035000000039e-01
-4.128626380000000040e-02,2.509609091000000181e-01
-5.637635109999999949e-02,1.653245181000000119e-01
-2.888117700000000093e-02,1.040961960000000019e-01
2.844656300000000197e-03,6.559173849999999639e-02
-2.284699109999999839e-02,4.141792670000000315e-02
-9.941707480000000485e-02,2.830783820000000103e-02
-1.694508818000000083e-01,1.947015850000000103e-02
-2.120056113999999881e-01,1.272415420000000061e-02
-2.852440788999999755e-01,8.935179600000000763e-03
-4.254905029000000116e-01,9.159693300000000538e-03
-5.671325444999999466e-01,1.390890839999999948e-02
-7.015495763000000329e-01,2.407474409999999995e-02
-8.324678489000000292e-01,4.416740930000000176e-02
-9.229191340000000299e-01,8.383178980000000058e-02
-9.428579125999999588e-01,1.369934587999999953e-01
-9.398816612999999487e-01,2.088971249000000086e-01
-9.653150437999999944e-01,3.197250255999999902e-01
-9.896588537999999602e-01,4.511536792999999990e-01
-9.776821154999999486e-01,5.944572597999999708e-01
-9.663087070000000445e-01,7.244002550999999457e-01
-9.796500004000000539e-01,8.153906360999999547e-01
-9.588970481999999906e-01,8.853470690000000420e-01
-8.694247131000000239e-01,9.411311928000000160e-01
-7.542665961000000197e-01,9.739068816000000517e-01
-6.470996608000000316e-01,9.894943739999999543e-01
-5.258510968999999813e-01,9.967589277999999720e-01
-3.801090129999999956e-01,1.001505540699999974e+00
-2.823308474999999818e-01,1.007875182700000094e+00
-2.063402950999999874e-01,1.021794235100000003e+00
-1.099430504000000058e-01,1.055183325700000063e+00
-2.273349679999999914e-02,1.110672486299999928e+00
1.408216799999999951e-03,1.179578137900000101e+00
-1.860518569999999872e-02,1.267987245899999893e+00
-1.794526169999999948e-02,1.392724968800000074e+00
-3.245200499999999905e-03,1.538967795300000052e+00
-2.126538089999999853e-02,1.671069046099999955e+00
-4.857666630000000152e-02,1.783560355899999950e+00
-4.219473509999999844e-02,1.858031125099999903e+00
-3.805812170000000272e-02,1.907469797999999939e+00
-9.753511269999999567e-02,1.950678882200000075e+00
-2.099107996000000032e-01,1.976771386800000085e+00
-3.290465851000000108e-01,1.989491213600000030e+00
-4.475162568000000118e-01,1.995446199899999939e+00
-5.924477824999999642e-01,1.998395147200000110e+00
-7.097699358000000291e-01,2.000590480800000126e+00
-7.760350915000000516e-01,2.004192873700000099e+00
-8.533343380000000256e-01,2.014871729999999861e+00
-9.449916435999999864e-01,2.041458875200000023e+00
-1.000225233000000102e+00,2.082323746800000208e+00
-9.891698804999999872e-01,2.125424426099999931e+00
-9.635381444999999712e-01,2.187892471400000094e+00
-9.768101542999999554e-01,2.289047860300000181e+00
-9.999075850999999959e-01,2.415262135299999890e+00
-9.903946074999999682e-01,2.559931467599999788e+00
-9.807565469000000258e-01,2.695737361599999993e+00
-9.996460093000000269e-01,2.793841154699999940e+00
-9.925014856999999635e-01,2.868669010500000116e+00
-9.178938295999999886e-01,2.929409699699999869e+00
-8.199506292999999557e-01,2.969649459599999819e+00
-7.418520516000000065e-01,2.987799358699999797e+00
-6.589163661000000394e-01,2.995619102800000100e+00
-5.210953887999999479e-01,3.000212344799999986e+00
-3.881545941000000277e-01,3.005150475000000210e+00
-2.795904603000000099e-01,3.014998581399999988e+00
-1.639637542999999864e-01,3.036773193300000173e+00
-6.288526140000000320e-02,3.078406280799999895e+00
-2.388129370000000029e-02,3.134970005300000029e+00
-3.730463109999999916e-02,3.203592889099999841e+00
-3.605368049999999741e-02,3.308080404500000071e+00
-1.395155239999999915e-02,3.443291890999999882e+00
-2.108669570000000146e-02,3.582239539400000172e+00
-5.006920410000000043e-02,3.715455124200000014e+00
-5.602422199999999852e-02,3.812485837900000174e+00
-6.713687520000000131e-02,3.880629448200000109e+00
